gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,engagement_score,Class_num
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,15,16,2,20,Yes,Good,Under_7,M,13.15,1
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,20,20,3,25,Yes,Good,Under_7,M,16.94,1
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,10,7,0,30,No,Bad,Above_7,L,11.67,0
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,30,25,5,35,No,Bad,Above_7,L,23.76,0
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,40,50,12,50,No,Bad,Above_7,M,38.19,1
F,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,42,30,13,70,Yes,Bad,Above_7,M,38.99,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,35,12,0,17,No,Bad,Above_7,L,15.86,0
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,10,15,22,Yes,Good,Under_7,M,24.21,1
F,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,12,21,16,50,Yes,Good,Under_7,M,24.88,1
F,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,70,80,25,70,Yes,Good,Under_7,M,61.68,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,50,88,30,80,Yes,Good,Under_7,H,62.53,2
M,Kw,Kuwait,MiddleSchool,G-07,B,Math,F,Father,19,6,19,12,Yes,Good,Under_7,M,13.92,1
M,Kw,Kuwait,lowerlevel,G-04,A,IT,F,Father,5,1,0,11,No,Bad,Above_7,L,4.05,0
M,Lebanon,Lebanon,MiddleSchool,G-08,A,Math,F,Father,20,14,12,19,No,Bad,Above_7,L,16.19,0
F,Kw,Kuwait,MiddleSchool,G-08,A,Math,F,Mum,62,70,44,60,No,Bad,Above_7,H,59.45,2
F,Kw,Kuwait,MiddleSchool,G-06,A,IT,F,Father,30,40,22,66,Yes,Good,Under_7,M,39.79,1
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,36,30,20,80,No,Bad,Above_7,M,41.83,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,55,13,35,90,No,Bad,Above_7,M,48.67,1
F,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Mum,69,15,36,96,Yes,Good,Under_7,M,54.46,1
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Mum,70,50,40,99,Yes,Good,Under_7,H,65.33,2
F,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,60,60,33,90,No,Bad,Above_7,M,61.27,1
F,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,10,12,4,80,No,Bad,Under_7,M,26.7,1
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,15,21,2,90,No,Bad,Under_7,M,32.27,1
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,2,0,2,50,No,Bad,Above_7,L,13.51,0
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,0,2,3,70,Yes,Good,Above_7,L,18.87,0
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,8,7,30,40,Yes,Good,Above_7,L,21.37,0
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,19,19,25,40,Yes,Bad,Under_7,M,25.87,1
M,Kw,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,25,15,12,33,No,Bad,Above_7,L,21.26,0
M,Kw,Kuwait,MiddleSchool,G-08,A,Science,F,Father,75,85,52,43,Yes,Good,Under_7,M,64.19,1
F,Kw,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,30,90,33,35,No,Bad,Under_7,M,47.32,1
F,Kw,Kuwait,MiddleSchool,G-08,A,Arabic,F,Father,35,80,50,70,Yes,Good,Under_7,H,59.31,2
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,4,5,40,16,Yes,Good,Above_7,L,16.29,0
F,Kw,Kuwait,lowerlevel,G-07,A,IT,F,Father,2,19,10,50,Yes,Good,Above_7,L,20.35,0
M,Kw,Kuwait,lowerlevel,G-05,A,English,F,Father,8,22,9,40,No,Bad,Above_7,L,19.8,0
M,Kw,Kuwait,MiddleSchool,G-07,B,Science,F,Father,12,11,8,40,No,Bad,Above_7,L,17.77,0
M,Kw,Kuwait,MiddleSchool,G-07,A,English,F,Father,10,12,17,30,No,Bad,Above_7,L,17.26,0
M,Kw,Kuwait,MiddleSchool,G-07,B,Science,F,Mum,8,6,4,22,Yes,Good,Above_7,L,9.89,0
F,Egypt,Egypt,MiddleSchool,G-07,A,IT,F,Father,45,54,26,90,Yes,Good,Under_7,M,54.22,1
M,Kw,Kuwait,MiddleSchool,G-06,A,IT,F,Father,0,0,0,4,No,Bad,Above_7,L,0.77,0
F,Saudiarabia,Saudiarabia,MiddleSchool,G-07,B,Science,F,Father,50,90,37,70,Yes,Good,Under_7,M,62.27,1
F,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,14,13,3,70,No,Bad,Above_7,L,25.15,0
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,19,20,16,50,No,Good,Under_7,M,26.38,1
M,Kw,Kuwait,HighSchool,G-09,A,IT,F,Father,10,12,7,33,Yes,Good,Above_7,L,15.48,0
F,Kw,Kuwait,HighSchool,G-09,A,IT,F,Father,30,35,28,90,Yes,Good,Under_7,M,46.19,1
F,Kw,Kuwait,HighSchool,G-09,A,IT,F,Father,33,33,30,90,No,Bad,Under_7,M,46.94,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Quran,F,Father,20,12,15,70,No,Good,Above_7,L,29.46,0
M,Kw,Kuwait,lowerlevel,G-05,A,English,F,Father,7,10,1,30,No,Bad,Above_7,L,11.93,0
F,Kw,Kuwait,HighSchool,G-12,A,English,F,Mum,70,4,39,90,Yes,Good,Under_7,H,51.16,2
F,Kw,Kuwait,HighSchool,G-12,A,English,F,Mum,13,80,40,88,Yes,Good,Under_7,H,55.85,2
F,Kw,Kuwait,HighSchool,G-12,A,English,F,Father,29,39,50,77,Yes,Good,Under_7,M,49.24,1
F,Kw,Kuwait,HighSchool,G-12,A,English,F,Father,20,14,12,70,No,Bad,Above_7,L,29.2,0
M,Kw,Kuwait,HighSchool,G-12,A,English,F,Father,39,15,16,50,No,Good,Above_7,L,30.12,0
F,Kw,Kuwait,HighSchool,G-12,A,English,F,Father,55,90,16,40,No,Bad,Under_7,M,50.51,1
F,Kw,Kuwait,HighSchool,G-11,A,Science,F,Mum,49,70,19,75,Yes,Good,Under_7,H,53.65,2
M,Kw,Kuwait,HighSchool,G-12,A,English,F,Mum,12,50,8,30,No,Bad,Above_7,L,25.07,0
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,16,14,6,20,Yes,Good,Above_7,L,13.91,0
M,Usa,Usa,MiddleSchool,G-08,B,Math,F,Father,19,5,4,1,Yes,Good,Above_7,L,7.03,0
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,5,2,6,5,Yes,Good,Above_7,L,4.31,0
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,28,60,19,50,Yes,Good,Under_7,M,39.5,1
F,Usa,Usa,MiddleSchool,G-07,A,Math,F,Father,27,22,22,40,No,Good,Under_7,M,27.87,1
F,Jordan,Jordan,lowerlevel,G-05,A,English,F,Mum,21,10,28,20,No,Good,Above_7,L,19.77,0
M,Kw,Kuwait,HighSchool,G-10,A,IT,F,Father,50,70,32,40,Yes,Good,Under_7,M,48.29,1
M,Venzuela,Venzuela,HighSchool,G-10,A,IT,F,Mum,80,90,70,80,Yes,Good,Under_7,H,80.74,2
M,Kw,Kuwait,HighSchool,G-10,A,IT,F,Father,17,13,16,12,Yes,Bad,Under_7,M,14.42,1
M,Kw,Kuwait,HighSchool,G-10,A,IT,F,Father,0,5,7,2,No,Bad,Above_7,L,3.3,0
M,Kw,Kuwait,HighSchool,G-12,A,English,F,Father,13,5,18,19,No,Bad,Above_7,L,13.7,0
F,Kw,Kuwait,HighSchool,G-12,A,English,F,Father,25,10,19,30,No,Bad,Above_7,M,21.02,1
F,Usa,Usa,HighSchool,G-12,A,English,F,Mum,65,75,23,80,Yes,Good,Under_7,H,61.21,2
F,Usa,Usa,HighSchool,G-12,A,IT,F,Mum,70,69,35,30,Yes,Good,Under_7,H,51.25,2
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,39,40,11,33,No,Bad,Under_7,M,30.82,1
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,22,30,10,12,Yes,Good,Above_7,L,18.43,0
M,Kw,Kuwait,MiddleSchool,G-07,A,IT,F,Father,29,22,9,20,Yes,Good,Under_7,M,19.95,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,11,2,2,8,No,Bad,Under_7,L,5.55,0
F,Kw,Kuwait,MiddleSchool,G-07,A,English,F,Father,19,30,26,19,Yes,Bad,Above_7,M,23.55,1
M,Kw,Kuwait,MiddleSchool,G-07,B,IT,F,Father,12,0,6,13,No,Bad,Under_7,L,7.59,0
M,Jordan,Jordan,MiddleSchool,G-07,A,Quran,F,Mum,50,90,29,60,Yes,Good,Under_7,M,57.68,1
M,Iran,Iran,HighSchool,G-09,A,IT,F,Mum,15,70,37,44,Yes,Good,Under_7,M,41.83,1
M,Kw,Kuwait,HighSchool,G-09,A,IT,F,Father,20,80,33,33,Yes,Good,Under_7,M,41.78,1
M,Kw,Kuwait,HighSchool,G-11,A,Quran,F,Father,13,3,11,9,No,Bad,Above_7,L,8.85,0
F,Lebanon,Lebanon,MiddleSchool,G-07,B,Math,F,Mum,80,90,49,55,Yes,Bad,Under_7,H,69.0,2
M,Kw,Kuwait,MiddleSchool,G-07,A,Math,F,Father,8,15,10,40,Yes,Bad,Under_7,L,18.29,0
M,Kw,Kuwait,lowerlevel,G-02,A,IT,F,Father,8,25,1,70,No,Bad,Above_7,L,26.17,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,7,5,2,80,Yes,Good,Above_7,L,23.68,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,7,4,10,50,No,Good,Above_7,M,17.81,1
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,50,70,50,10,Yes,Good,Above_7,H,45.23,2
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,1,0,1,12,No,Bad,Above_7,L,3.31,0
M,Saudiarabia,Saudiarabia,lowerlevel,G-02,B,IT,F,Father,70,12,40,50,Yes,Good,Under_7,H,43.23,2
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,19,70,3,50,No,Bad,Under_7,L,35.69,0
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,3,12,4,33,No,Bad,Under_7,L,12.96,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,5,20,1,50,Yes,Good,Above_7,L,19.06,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,4,8,10,60,Yes,Good,Above_7,L,20.62,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,80,90,55,19,Yes,Good,Under_7,H,61.35,2
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,50,70,19,15,Yes,Good,Under_7,H,38.6,2
M,Usa,Usa,lowerlevel,G-02,B,IT,F,Father,55,89,40,40,Yes,Good,Under_7,H,56.38,2
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,80,44,35,10,No,Good,Above_7,L,42.34,0
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,100,80,2,70,No,Bad,Under_7,H,63.31,2
F,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Father,14,60,11,75,Yes,Good,Under_7,H,40.34,2
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,6,2,38,12,No,Bad,Under_7,M,14.51,1
F,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Father,10,3,0,30,No,Bad,Under_7,M,10.66,1
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,50,7,9,50,Yes,Bad,Above_7,M,29.06,1
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,50,90,40,90,Yes,Bad,Under_7,M,68.14,1
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Mum,70,92,50,7,Yes,Good,Under_7,H,55.02,2
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,2,6,2,8,No,Bad,Above_7,L,4.31,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,1,7,6,10,No,Bad,Above_7,L,5.84,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,0,12,3,3,Yes,Good,Above_7,M,4.31,1
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,0,0,5,80,Yes,Good,Above_7,L,21.43,0
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,12,26,7,40,Yes,Good,Under_7,M,21.3,1
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,70,90,41,33,Yes,Bad,Under_7,H,58.85,2
M,Saudiarabia,Saudiarabia,lowerlevel,G-02,B,IT,F,Father,7,12,5,3,No,Bad,Above_7,M,6.57,1
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,90,70,30,14,No,Bad,Under_7,M,51.15,1
F,Jordan,Jordan,lowerlevel,G-02,B,IT,F,Mum,70,88,55,40,Yes,Good,Under_7,H,63.7,2
M,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Father,77,80,51,80,No,Good,Under_7,M,72.62,1
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,2,5,3,50,No,Bad,Above_7,L,15.03,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,25,27,0,69,No,Bad,Above_7,L,30.42,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,11,2,0,50,No,Bad,Above_7,L,15.76,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,0,8,11,70,Yes,Good,Above_7,L,22.43,0
F,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Mum,77,80,12,19,Yes,Good,Above_7,M,47.11,1
F,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Mum,25,29,40,17,No,Good,Under_7,H,27.86,2
F,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Mum,24,35,23,22,Yes,Good,Above_7,M,26.06,1
M,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Father,60,60,3,60,No,Bad,Under_7,M,45.97,1
M,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Mum,21,12,0,50,Yes,Good,Under_7,M,20.78,1
M,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Mum,0,4,8,30,No,Bad,Above_7,L,10.45,0
F,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,66,90,55,12,Yes,Good,Above_7,M,56.06,1
F,Lebanon,Lebanon,lowerlevel,G-02,B,IT,F,Father,70,98,7,5,Yes,Good,Under_7,M,45.05,1
M,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Father,0,6,4,15,Yes,Bad,Under_7,L,6.11,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,12,30,0,17,No,Good,Above_7,L,14.66,0
F,Iran,Iran,lowerlevel,G-02,C,IT,F,Father,2,9,7,55,Yes,Good,Under_7,M,18.33,1
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,55,33,6,9,No,Bad,Above_7,L,25.65,0
M,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Father,12,10,20,16,No,Bad,Under_7,L,14.45,0
M,Kw,Kuwait,lowerlevel,G-02,B,IT,F,Father,70,90,2,2,Yes,Good,Under_7,L,40.99,0
F,Kw,Kuwait,lowerlevel,G-02,C,IT,F,Father,7,9,5,30,No,Bad,Above_7,L,12.7,0
M,Jordan,Jordan,lowerlevel,G-02,C,IT,F,Father,80,42,20,50,Yes,Good,Under_7,M,48.21,1
M,Kw,Kuwait,lowerlevel,G-02,C,IT,S,Father,0,3,10,3,No,Bad,Above_7,L,3.82,0
M,Kw,Kuwait,lowerlevel,G-02,A,IT,S,Father,12,60,0,70,Yes,Good,Above_7,L,35.75,0
M,Kw,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,80,80,15,70,Yes,Good,Under_7,H,61.63,2
F,Egypt,Egypt,MiddleSchool,G-07,A,Quran,S,Mum,70,80,95,70,Yes,Good,Under_7,H,79.54,2
F,Kw,Usa,HighSchool,G-11,A,Quran,S,Mum,70,80,95,70,Yes,Good,Under_7,H,79.54,2
F,Kw,Usa,HighSchool,G-11,A,Quran,F,Mum,60,80,50,40,No,Bad,Under_7,M,57.91,1
F,Jordan,Egypt,MiddleSchool,G-07,A,Quran,F,Mum,100,80,95,90,No,Bad,Under_7,H,92.14,2
M,Jordan,Usa,MiddleSchool,G-07,A,Quran,F,Mum,100,85,85,70,No,Bad,Under_7,M,85.75,1
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,F,Father,10,60,5,20,Yes,Bad,Above_7,L,23.77,0
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,19,65,50,10,No,Bad,Above_7,L,36.22,0
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,10,75,55,11,Yes,Good,Under_7,M,38.02,1
M,Kw,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,80,90,55,19,Yes,Good,Under_7,H,61.35,2
M,Kw,Kuwait,MiddleSchool,G-07,A,Quran,S,Father,10,10,15,19,No,Bad,Above_7,L,13.44,0
M,Tunis,Saudiarabia,MiddleSchool,G-07,A,Quran,S,Father,70,75,55,11,Yes,Bad,Under_7,M,53.02,1
F,Lebanon,Lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,75,50,70,Yes,Good,Under_7,H,74.3,2
F,Lebanon,Lebanon,MiddleSchool,G-07,A,Quran,S,Father,10,79,30,30,No,Bad,Under_7,M,37.5,1
F,Jordan,Jordan,MiddleSchool,G-07,A,Quran,S,Father,60,55,30,40,No,Bad,Under_7,M,46.49,1
F,Jordan,Lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100,75,50,70,Yes,Bad,Under_7,H,74.3,2
M,Saudiarabia,Saudiarabia,HighSchool,G-11,A,Quran,S,Father,80,80,51,59,Yes,Good,Under_7,H,68.01,2
M,Saudiarabia,Usa,HighSchool,G-11,A,Science,S,Father,23,63,71,89,Yes,Good,Under_7,M,62.22,1
F,Saudiarabia,Usa,HighSchool,G-11,B,Science,S,Father,100,91,98,40,Yes,Bad,Under_7,H,82.93,2
M,Saudiarabia,Usa,HighSchool,G-11,B,Spanish,S,Father,10,51,40,40,No,Bad,Above_7,L,35.53,0
M,Saudiarabia,Usa,HighSchool,G-11,B,English,S,Father,70,50,33,41,No,Bad,Above_7,M,48.75,1
M,Saudiarabia,Usa,HighSchool,G-11,B,Math,S,Father,70,58,73,91,Yes,Bad,Under_7,H,73.73,2
F,Tunis,Usa,HighSchool,G-11,B,French,S,Father,70,50,30,49,Yes,Good,Under_7,M,50.02,1
M,Tunis,Tunis,HighSchool,G-11,B,Science,S,Father,70,50,33,40,No,Good,Under_7,M,48.49,1
M,Tunis,Kuwait,MiddleSchool,G-07,B,Science,S,Father,22,51,48,10,No,Bad,Above_7,L,32.92,0
F,Kw,Kuwait,MiddleSchool,G-07,B,Science,S,Father,62,68,48,80,Yes,Good,Under_7,M,65.07,1
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82,89,58,50,Yes,Good,Under_7,H,70.27,2
M,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,72,80,58,66,No,Bad,Under_7,M,69.58,1
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,70,82,3,73,No,Bad,Under_7,H,57.34,2
F,Jordan,Usa,lowerlevel,G-02,B,French,S,Mum,60,82,93,43,No,Bad,Above_7,M,70.15,1
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,55,72,83,14,Yes,Good,Above_7,M,56.42,1
